NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難場所(所)との重複,想定収容人数,指定の有無,対象となる町会・自治会,URL,備考
106,三本木下三区地区ｺﾐｭﾆﾃｨｾﾝﾀｰ,サンボンギシモサンクチクコミュニティセンター,宮城県大崎市三本木桑折字八幡東3-2,,38.522991,140.963314,,－,,42153,宮城県,大崎市,,1,,1,,,,,,106,1,,,
107,三本木蒜袋集会所,サンボンギヒルブクロシュウカイジョ,宮城県大崎市三本木蒜袋字南屋敷19-7,,38.531332,140.966392,,0229-52-5540,,42153,宮城県,大崎市,,1,,1,,,,,,89,1,,,
108,三本木多田川集会所,サンボンギタダガワシュウカイジョ,宮城県大崎市三本木蒜袋字東谷地49-1,,38.541644,140.950781,,－,,42153,宮城県,大崎市,,1,,1,,,,,,56,1,,,
109,三本木伊場野地区ｺﾐｭﾆﾃｨｾﾝﾀｰ,サンボンギイバノチクコミュニティセンター,宮城県大崎市三本木伊場野字鉄炮町8,,38.529288,140.992681,,－,,42153,宮城県,大崎市,,1,,1,,,,,,83,1,,,
110,三本木新沼運動公園,サンボンギニイヌマウンドウコウエン,宮城県大崎市三本木新沼字天神4,,38.54044,140.91955,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
111,三本木新沼地区ｺﾐｭﾆﾃｨｾﾝﾀｰ,サンボンギニイヌマチクコミュニティセンター,宮城県大崎市三本木新沼字荒屋敷122-1,,38.539052,140.926089,,－,,42153,宮城県,大崎市,,1,,1,,,,,,101,1,,,
112,前迫公園,マエハサマコウエン,宮城県大崎市鹿島台木間塚字前迫96-1,,38.488966,141.113544,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,0,1,,,
113,鎌田記念ﾎｰﾙ(交流施設屋外管理棟含む),カマタキネンホール（コウリュウシセツオクガイカンリトウフクム）,宮城県大崎市鹿島台木間塚字福芦335-1,,38.473381,141.106176,,0229-56-6311,,42153,宮城県,大崎市,,1,,1,,,,,,749,1,,,
114,｢瑞華翠交流施設｣多目的ｸﾞﾗｳﾝﾄﾞ,「ミズハナミドリコウリュウシセツ」タモクテキグラウンド,宮城県大崎市鹿島台木間塚字福芦335-1,,38.473381,141.106178,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
115,鹿島台中央野球場,カシマダイチュウオウヤキュウジョウ,宮城県大崎市鹿島台木間塚字福芦371-3,,38.475093,141.106476,,0229-56-6611,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
116,鹿島台第一幼稚園,カシマダイダイイチヨウチエン,宮城県大崎市鹿島台平渡字小沢9-19,,38.485226,141.095074,,0229-56-2660,,42153,宮城県,大崎市,1,1,,1,,,,,,359,1,,,
117,鹿島台長寿生活支援ｾﾝﾀｰ「ゆうゆう館」,カシマダイチョウジュセイカツシエンセンター「ユウユウカン」,宮城県大崎市鹿島台平渡字上敷19-7,,38.485162,141.089197,,0229-56-9413,,42153,宮城県,大崎市,1,1,,1,,,,,,323,1,,,
118,鹿島台小学校,カシマダイショウガッコウ,宮城県大崎市鹿島台平渡字上戸１,,38.479322,141.096612,,0229-56-2662,,42153,宮城県,大崎市,1,,,1,,,,,1,3108,1,,,"収容地区：鈴掛,姥ヶ沢,出町,本地,竹谷,三ツ屋・上地,鎌巻,福芦住宅,福芦団地,鹿島台大沢,上平渡,鹿島台長根,北平渡,鹿島台駅前,御屋敷,東平渡,杉ヶ崎,鹿島台山谷,広長,元鹿島台,内ノ浦,砂子沢,渕花,深谷,山船越,里船越"
119,鹿島台保健ｾﾝﾀｰ,カシマダイホケンセンター,宮城県大崎市鹿島台平渡字西要害12-1,,38.480029,141.096429,,0229-56-6688,,42153,宮城県,大崎市,1,,,1,,,,,,110,1,,,福祉避難所
120,鹿島台中学校,カシマダイチュウガッコウ,宮城県大崎市鹿島台平渡字狸沢50,,38.476193,141.093665,,0229-56-2663,,42153,宮城県,大崎市,1,1,,1,,,,,1,3633,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
121,鹿島台中央児童館,カシマダイチュウオウジドウカン,宮城県大崎市鹿島台木間塚字姥ヶ沢98-1,,38.477683,141.100661,,0229-56-4672,,42153,宮城県,大崎市,,1,,1,,,,,,413,1,,,
122,鹿島台公民館,カシマダイコウミンカン,宮城県大崎市鹿島台木間塚字小谷地504-1,,38.475007,141.102494,,0229-56-2510,,42153,宮城県,大崎市,,1,,1,,,,,,219,1,,,
123,なかよし園,ナカヨシエン,宮城県大崎市鹿島台木間塚字小谷地478-1,,38.475479,141.100996,,0229-57-2271,,42153,宮城県,大崎市,,1,,1,,,,,,904,1,,,
124,鹿島台商業高等学校,カシマダイショウギョウコウトウガッコウ,宮城県大崎市鹿島台広長字杢師前44,,38.487805,141.085922,,0229-56-2664,,42153,宮城県,大崎市,1,1,,1,,,,,1,208,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
125,鹿島台野球場,カシマダイヤキュウジョウ,宮城県大崎市鹿島台広長字無清水4,,38.48713,141.08847,,0229-56-4530,,42153,宮城県,大崎市,1,1,,1,,,,,,0,1,,,
126,旧鹿島台第二小学校,キュウカシマダイダイニショウガッコウ,宮城県大崎市鹿島台大迫字寺沢40-1,,38.46174,141.04273,,0229-72-5032,,42153,宮城県,大崎市,1,1,,1,,,,,1,1377,1,,,"収容地区：大迫新田,大迫,小迫,鹿島台岩渕,上志田,下志田"
127,旧鹿島台第二幼稚園,キュウカシマダイダイニヨウチエン,宮城県大崎市鹿島台大迫字寺沢40-14,,38.461083,141.043242,,0229-56-3780,,42153,宮城県,大崎市,1,1,,1,,,,,,155,1,,,
128,志田谷地防災センター,シダヤチボウサイセンター,宮城県大崎市鹿島台大迫字川北61-1,,38.443121,141.058888,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,119,1,,,
129,真山地区公民館,マヤマチクコウミンカン,宮城県大崎市岩出山字上真山下外道13-2,,38.696825,140.930859,,0229-77-2567,,42153,宮城県,大崎市,1,,,1,,,,,1,315,1,,,"震災時に使用。収容地区：小倉,上馬館,下馬館,大坪,小坪,黄金田,小松川"
130,旧真山小学校,キュウマヤマショウガッコウ,宮城県大崎市岩出山字上真山日向要害2,,38.693426,140.932391,,0229-72-5032,,42153,宮城県,大崎市,1,1,,1,,,,,1,501,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
131,池月地区公民館,イケツキチクコウミンカン,宮城県大崎市岩出山池月字下宮道下4-1,,38.70686,140.83385,,0229-78-2787,,42153,宮城県,大崎市,1,1,,1,,,,,1,261,1,,,"震災時に使用。収容地区：菅生,鵙目,上宮,下宮,池月中央,根岸,沖"
132,旧池月小学校,キュウイケツキショウガッコウ,宮城県大崎市岩出山池月字下宮山下30,,38.711725,140.834941,,0229-72-5032,,42153,宮城県,大崎市,1,1,,1,,,,,1,535,1,,,"水害時に使用。収容地区：菅生,鵙目,上宮,下宮,池月中央,根岸,沖"
133,一栗体育館,イチクリタイイクカン,宮城県大崎市岩出山池月字下宮道下4-1,,38.706769,140.833691,,0229-78-2011,,42153,宮城県,大崎市,1,1,,1,,,,,,0,1,,,
134,あ・ら・伊達な道の駅,ア・ラ・ダテナミチノエキ,宮城県大崎市岩出山池月字下宮道下4-1,,38.707509,140.833353,,0229-73-2236,,42153,宮城県,大崎市,1,1,,1,,,,,,0,1,,,
135,上野目地区公民館,カミノメチクコウミンカン,宮城県大崎市岩出山下一栗字蛇王田73,,38.682308,140.862495,,0229-72-3144,,42153,宮城県,大崎市,,1,,1,,,,,1,65,1,,,"震災時に使用。収容地区：一の坪,宿,天王寺,大保,上野目山谷,要害"
136,ﾊﾟﾙｱﾘｰﾅ,パルアリーナ,宮城県大崎市岩出山下一栗字蛇王田73,,38.682408,140.862815,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
137,旧上野目小学校,キュウカミノメショウガッコウ,宮城県大崎市岩出山下一栗字片岸浦9,,38.683637,140.865588,,0229-72-5032,,42153,宮城県,大崎市,1,1,,1,,,,,1,545,1,,,"水害時に使用。収容地区：一の坪,宿,天王寺,大保,上野目山谷,要害"
138,岩出山体育ｾﾝﾀｰ,イワデヤマタイイクセンター,宮城県大崎市岩出山上野目字中川原21-1,,38.665579,140.868992,,0229-72-1210,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
139,岩出山小学校,イワデヤマショウガッコウ,宮城県大崎市岩出山字城山31,,38.653228,140.863184,,0229-72-0029,,42153,宮城県,大崎市,1,,,1,,,,,1,1295,1,,,"水害時に使用。収容地区：東昌寺沢,大学町,川原町,岩出山北町,岩出山南町,浦北,浦南,通丁,轟,新橋,東川原町"
140,岩出山中学校,イワデヤマチュウガッコウ,宮城県大崎市岩出山字松沢202-1,,38.659382,140.857954,,0229-72-4441,,42153,宮城県,大崎市,1,1,,1,,,,,1,5908,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
141,岩出山高等学校,イワデヤマコウトウガッコウ,宮城県大崎市岩出山字城山2,,38.653838,140.862034,,0229-72-1110,,42153,宮城県,大崎市,1,,,1,,,,,,0,1,,,
142,城山公園,シロヤマコウエン,宮城県大崎市岩出山字城山42－2,,38.65603,140.86354,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,0,1,,,
143,有備館の森公園,ユウビカンノモリコウエン,宮城県大崎市岩出山字上川原町4,,38.658111,140.862307,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
144,岩出山地域福祉ｾﾝﾀｰ,イワデヤマチイキフクシセンター,宮城県大崎市岩出山字下川原町100-8,,38.655997,140.870931,,0229-72-5050,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
145,岩出山文化会館(ｽｺｰﾚﾊｳｽ),イワデヤマブンカカイカン（スコーレハウス）,宮城県大崎市岩出山字船場21,,38.652134,140.875397,,0229-72-0357,,42153,宮城県,大崎市,,1,,1,,,,,1,1720,1,,,"震災時に使用。収容地区：東昌寺沢,大学町,川原町,岩出山北町,岩出山南町,浦北,浦南,通丁,轟,新橋,東川原町"
146,川北ふれあいｾﾝﾀｰ(旧川北分校),カワキタフレアイセンター（キュウカワキタブンコウ）,宮城県大崎市岩出山下野目字向山1-1,,38.652337,140.893999,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,109,1,,,
147,西大崎地区公民館,ニシオオサキチクコウミンカン,宮城県大崎市岩出山下野目字泉山198-13,,38.623139,140.886264,,0229-72-1007,,42153,宮城県,大崎市,1,1,,1,,,,,1,58,1,,,"震災時に使用。収容地区：川北,下野目八幡,白鳥,薬師,馬主,中里"
148,旧西大崎小学校,キュウニシオオサキショウガッコウ,宮城県大崎市岩出山下野目字泉山205,,38.62342,140.88512,,0229-72-5032,,42153,宮城県,大崎市,1,1,,1,,,,,1,473,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
149,老人憩いの家やすらぎ荘,ロウジンイコイノイエヤスラギソウ,宮城県大崎市岩出山字木通沢132-1の内,,38.647959,140.838977,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,0,1,,,
150,中里集会所,ナカザトシュウカイジョ,宮城県大崎市岩出山南沢字曲田裏43-9,,38.653101,140.826458,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,111,1,,,
151,中山ｺﾐｭﾆﾃｨｾﾝﾀ－,ナカヤマコミュニティセンター,宮城県大崎市鳴子温泉字星沼19-1,,38.728138,140.676563,,0229-87-2154,,42153,宮城県,大崎市,1,1,,1,,,,,1,200,1,,,"収容地区：中山西,中山東"
152,南原集会所,ミナミハラシュウカイジョ,宮城県大崎市鳴子温泉字南原9-3,,38.72248,140.659,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,80,1,,,
153,上鳴子集会所,カミナルコシュウカイジョ,宮城県大崎市鳴子温泉字上鳴子60,,38.739505,140.710814,,－,,42153,宮城県,大崎市,1,,,1,,,,,,75,1,,,鳴子ダムにおける異常洪水時防災操作の際は，使用不可となる。
154,江合川緑地公園(上鳴子),エアイガワリョクチコウエン（カミナルコ）,宮城県大崎市鳴子温泉字上鳴子地内河川敷,,38.74209,140.712728,,－,,42153,宮城県,大崎市,,,,1,,,,,,0,1,,,
155,旧鳴子小学校,キュウナルコショウガッコウ,宮城県大崎市鳴子温泉字湯元29,,38.740993,140.715,,0229-82-2106,,42153,宮城県,大崎市,1,,,1,,,,,1,2831,1,,,"収容地区：上鳴子,上野々,湯元,新屋敷,車湯"
156,車湯児童公園,クルマユジドウコウエン,宮城県大崎市鳴子温泉字車湯地内河川敷,,38.749063,140.722858,,－,,42153,宮城県,大崎市,,,,1,,,,,,0,1,,,
157,車湯集会所,クルマユシュウカイジョ,宮城県大崎市鳴子温泉字車湯2,,38.74832,140.72208,,,,42153,宮城県,大崎市,1,1,,1,,,,,,75,1,,,鳴子ダムにおける異常洪水時防災操作の際は，使用不可となる。
158,鳴子公民館・鳴子ｽﾎﾟｰﾂｾﾝﾀｰ,ナルココウミンカン・ナルコスポーツセンター,宮城県大崎市鳴子温泉字鷲ノ巣85-4,,38.744727,140.737966,,0229-82-2101,,42153,宮城県,大崎市,1,1,,1,,,,,1,2500,1,,,"収容地区：上鳴子,上野々,湯元,新屋敷,車湯,鳴子岩渕,東鳴子,中野"
159,東鳴子集会所,ヒガシナルコシュウカイジョ,宮城県大崎市鳴子温泉字鷲ノ巣84-3,,38.745834,140.737436,,,,42153,宮城県,大崎市,1,,,1,,,,,,75,1,,,鳴子ダムにおける異常洪水時防災操作の際は，使用不可となる。
160,江合川河川公園(馬場),エアイガワカセンコウエン（ババ）,宮城県大崎市鳴子温泉字中野地内河川敷,,38.739321,140.743187,,－,,42153,宮城県,大崎市,,,,1,,,,,,0,1,,,
161,鳴子保健・医療・福祉ｾﾝﾀｰ,ナルコホケン・イリョウ・フクシセンター,宮城県大崎市鳴子温泉字末沢1,,38.751434,140.727346,,0229-83-3131,,42153,宮城県,大崎市,1,,,1,,,,,,25,1,,,鳴子ダムにおける異常洪水時防災操作の際は，使用不可となる。福祉避難所
162,旧川渡小学校,キュウカワタビショウガッコウ,宮城県大崎市鳴子温泉字築沢29,,38.732354,140.763535,,0229-84-7121,,42153,宮城県,大崎市,1,1,,1,,,,,1,1657,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）。鳴子ダムにおける異常洪水時防災操作の際は，校舎等の２階以上が使用可能となる。
163,川渡地区公民館,カワタビチクコウミンカン,宮城県大崎市鳴子温泉字川渡25-5,,38.732137,140.766335,,0229-84-6814,,42153,宮城県,大崎市,1,1,,1,,,,,1,748,1,,,"鳴子ダムにおける異常洪水時防災操作の際は，使用不可となる。収容地区：石ノ海,沢,向山,川渡,上川原,鍛冶谷沢,南野際,北野際,上原,黒崎,小身川原"
164,鳴子小中学校,ナルコショウチュウガッコウ,宮城県大崎市鳴子温泉字町西97-1,,38.736945,140.76551,,0229-84-5811,,42153,宮城県,大崎市,1,1,,1,,,,,1,951,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
165,鍛冶谷沢集会所,カジヤサワシュウカイジョ,宮城県大崎市鳴子温泉字町西87-2,,38.73791,140.766973,,0229-84-7177,,42153,宮城県,大崎市,1,1,,1,,,,,,75,1,,,
166,南野際会館,ミナミノギワカイカン,宮城県大崎市鳴子温泉字田中30,,38.736346,140.78057,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,116,1,,,
167,黒崎生活ｾﾝﾀｰ,クロサキセイカツセンター,宮城県大崎市鳴子温泉字黒崎146,,38.730565,140.793485,,0229-84-7159,,42153,宮城県,大崎市,1,1,,1,,,,,,71,1,,,
168,小身川原生活ｾﾝﾀｰ,オミガワラセイカツセンター,宮城県大崎市鳴子温泉字小身川原128－2,,38.726225,140.788677,,－,,42153,宮城県,大崎市,1,,,1,,,,,,33,1,,,鳴子ダムにおける異常洪水時防災操作の際は，使用不可となる。
169,蟹沢ｾﾝﾀｰ,カニサワセンター,宮城県大崎市鳴子温泉鬼首字下蟹沢20-4,,38.782972,140.70488,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,25,1,,,
170,小向生活ｾﾝﾀｰ,コムカイセイカツセンター,宮城県大崎市鳴子温泉鬼首字小向4,,38.796836,140.657574,,0229-86-2216,,42153,宮城県,大崎市,1,1,,1,,,,,,60,1,,,
171,川東生活ｾﾝﾀｰ,カワヒガシセイカツセンター,宮城県大崎市鳴子温泉鬼首字湯野上39,,38.807131,140.658727,,－,,42153,宮城県,大崎市,1,,,1,,,,,,79,1,,,
172,鬼首地区公民館,オニコウベチクコウミンカン,宮城県大崎市鳴子温泉鬼首字原43-1,,38.802672,140.648693,,0229-86-2206,,42153,宮城県,大崎市,1,1,,1,,,,,1,300,1,,,"収容地区：蟹沢,小向,川東,原,田野,中川原,軍沢,寒湯,岩入西,岩入東"
173,旧鬼首小学校,キュウオニコウベショウガッコウ,宮城県大崎市鳴子温泉鬼首字八幡原19,,38.800684,140.650721,,0229-86-2216,,42153,宮城県,大崎市,1,1,,1,,,,,1,1057,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
174,田野生活ｾﾝﾀｰ,タノセイカツセンター,宮城県大崎市鳴子温泉鬼首字久保田22-1,,38.814828,140.641891,,,,42153,宮城県,大崎市,1,1,,1,,,,,,81,1,,,
175,軍沢農用地利用改善ｾﾝﾀｰ,イクサザワノウヨウチリヨウカイゼンセンター,宮城県大崎市鳴子温泉鬼首字下軍沢7,,38.836772,140.641249,,,,42153,宮城県,大崎市,1,1,,1,,,,,,50,1,,,
176,大森平生活ｾﾝﾀｰ,オオモリダイラセイカツセンター,宮城県大崎市鳴子温泉鬼首字大森平19-8,,38.850441,140.636653,,,,42153,宮城県,大崎市,1,1,,1,,,,,,41,1,,,
177,寒湯生活ｾﾝﾀｰ,ヌルユセイカツセンター,宮城県大崎市鳴子温泉鬼首字高剥14-1,,38.862223,140.658823,,－,,42153,宮城県,大崎市,1,,,1,,,,,,33,1,,,
178,岩入西区集会所,ガニュウニシクシュウカイジョ,宮城県大崎市鳴子温泉鬼首字峠53-1,,38.868484,140.678961,,,,42153,宮城県,大崎市,1,1,,1,,,,,,30,1,,,
179,田町集会所,タマチシュウカイジョ,宮城県大崎市田尻中目字下田13-1,,38.601203,141.020365,,－,,42153,宮城県,大崎市,,1,,1,,,,,,40,1,,,
180,元町構造改善ｾﾝﾀｰ,モトマチコウゾウカイゼンセンター,宮城県大崎市田尻字町23-19,,38.599055,141.021536,,－,,42153,宮城県,大崎市,,1,,1,,,,,,30,1,,,
181,横町・河岸前公会堂,ヨコマチ・カシマエコウカイドウ,宮城県大崎市田尻字町72-1,,38.597309,141.024605,,－,,42153,宮城県,大崎市,,1,,1,,,,,,30,1,,,
182,新町公会堂,シンマチコウカイドウ,宮城県大崎市田尻字町尻53-1,,38.597993,141.030455,,－,,42153,宮城県,大崎市,,1,,1,,,,,,30,1,,,
183,牧目生活ｾﾝﾀｰ,マギノメセイカツセンター,宮城県大崎市田尻北牧目字牧目87-1,,38.597251,141.036739,,－,,42153,宮城県,大崎市,,1,,1,,,,,,40,1,,,
184,田尻小学校,タジリショウガッコウ,宮城県大崎市田尻通木字一所谷10-3,,38.605179,141.021057,,0229-39-0048,,42153,宮城県,大崎市,1,1,,1,,,,,1,415,1,,,洪水時校舎２階。予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
185,田尻ｽｷｯﾌﾟｾﾝﾀｰ,タジリスキップセンター,宮城県大崎市田尻通木字中崎東10-1,,38.60058,141.03019,,0229-38-1155,,42153,宮城県,大崎市,1,1,,1,,,,,,500,1,,,福祉避難所
186,田尻地区公民館・農村環境改善ｾﾝﾀｰ,タジリチクコウミンカン・ノウソンカンキョウカイゼンセンター,宮城県大崎市田尻通木字新合志田60,,38.600671,141.025717,,0229-39-0016,,42153,宮城県,大崎市,,1,,1,,,,,1,300,1,,,"収容地区：田町,元町,仲荒町,横町河岸前,田尻新町,北牧目,通木,大嶺,大嶺三,田尻八幡,南小松,北小松,沼木諏訪峠,中目,大杉"
187,通木公会堂,トオリキコウカイドウ,宮城県大崎市田尻通木字寺下22,,38.604582,141.024778,,－,,42153,宮城県,大崎市,,1,,1,,,,,,20,1,,,
188,田尻萬嶺閣,タジリバンレイカク,宮城県大崎市田尻大嶺字薬師53-2,,38.608197,141.017868,,0229-39-0150,,42153,宮城県,大崎市,1,1,,1,,,,,,0,1,,,
189,大嶺多目的集会所,オオミネタモクテキシュウカイジョ,宮城県大崎市田尻大嶺字北山57-3,,38.618009,141.027242,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,50,1,,,
190,大嶺三区多目的集会施設,オオミネサンクタモクテキシュウカイシセツ,宮城県大崎市田尻大嶺字薬師53-2,,38.607452,141.017098,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,40,1,,,
191,八幡公会堂,ヤワタコウカイドウ,宮城県大崎市田尻八幡字御殿坂6-1,,38.613014,141.014453,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,50,1,,,
192,南小松集落ｾﾝﾀｰ,ミナミコマツシュウカイセンター,宮城県大崎市田尻小松字登仙堂10-1,,38.612339,141.004411,,－,,42153,宮城県,大崎市,,1,,1,,,,,,40,1,,,
193,北小松生活ｾﾝﾀｰ,キタコマツセイカツセンター,宮城県大崎市田尻小松字明神40-2,,38.620854,141.008268,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,20,1,,,
194,沼木生活ｾﾝﾀｰ,ヌマキセイカツセンター,宮城県大崎市田尻沼木字筒水14-4,,38.613807,140.995926,,－,,42153,宮城県,大崎市,,1,,1,,,,,,50,1,,,
195,諏訪峠公会堂,スワトウゲコウカイドウ,宮城県大崎市田尻諏訪峠字諏訪22-1,,38.61626,140.995479,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,20,1,,,
196,中目集落ｾﾝﾀｰ,ナカノメシュウラクセンター,宮城県大崎市田尻中目字畑中33-1,,38.602924,141.009006,,－,,42153,宮城県,大崎市,,1,,1,,,,,,50,1,,,
197,大杉団地集会所,オオスギダンチシュウカイジョ,宮城県大崎市田尻字北大杉47,,38.597828,141.018495,,－,,42153,宮城県,大崎市,,1,,1,,,,,,30,1,,,
198,木戸ふれあいｾﾝﾀｰ,キドフレアイセンター,宮城県大崎市田尻沼部字木戸17-2,,38.616242,141.041198,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,60,1,,,
199,百塚公会堂,ホドヅカコウカイドウ,宮城県大崎市田尻沼部字百塚４-2,,38.605584,141.04085,,－,,42153,宮城県,大崎市,,1,,1,,,,,,20,1,,,
200,上高野生活ｾﾝﾀｰ,カミゴウヤセイカツセンター,宮城県大崎市田尻沼部字寺川戸10-2,,38.612625,141.047856,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,30,1,,,
201,沼部集落ｾﾝﾀｰ,ヌマベシュウラクセンター,宮城県大崎市田尻沼部字十文字62-3,,38.605473,141.058817,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,50,1,,,
202,峯崎生活改善ｾﾝﾀｰ,ミネザキセイカツカイゼンセンター,宮城県大崎市田尻沼部字山崎5-11,,38.607378,141.053526,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,50,1,,,
203,横須賀団地集会所,ヨコスカダンチシュウカイジョ,宮城県大崎市田尻沼部字新寺前13,,38.607833,141.061929,,－,,42153,宮城県,大崎市,,1,,1,,,,,,30,1,,,
204,貝堀集落ｾﾝﾀｰ,カイノホリシュウラクセンター,宮城県大崎市田尻沼部字貝ノ堀3,,38.618298,141.056199,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,80,1,,,
205,若林公会堂,ワカバヤシコウカイドウ,宮城県大崎市田尻沼部字梨木沢38-1,,38.622867,141.059536,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,30,1,,,
206,葉山・上北山集落ｾﾝﾀｰ,ハヤマ・カミキタヤマシュウラクセンター,宮城県大崎市田尻沼部字下北山29-17,,38.612863,141.070863,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,40,1,,,
207,田尻さくら高等学校,タジリサクラコウトウガッコウ,宮城県大崎市田尻沼部字中新堀137,,38.597937,141.053889,,0229-39-1051,,42153,宮城県,大崎市,,1,,1,,,,,1,849,1,,,予備・指定避難所（鳴子ダムにおける異常洪水時防災操作の際は，校舎等の２階以上が使用可能となる。）
208,沼部公民館・田尻老人福祉ｾﾝﾀｰ・田尻保健ｾﾝﾀｰ,ヌマベコウミンカン・タジリロウジンフクシセンター・タジリホケンセンター,宮城県大崎市田尻沼部字富岡166,,38.599212,141.055186,,0229-39-0213,,42153,宮城県,大崎市,,1,,1,,,,,1,300,1,,,"収容地区：木戸,百塚上高野,沼部峯崎,貝ノ堀,若林,葉山上北山,富岡,桜田,田尻谷地中,北小塩,中南小塩,百々荒柳,田尻大沢,北小牛田上,北小牛田下,下高野"
209,富岡生活改善ｾﾝﾀｰ,トミオカセイカツカイゼンセンター,宮城県大崎市田尻沼部字富岡浦51,,38.595094,141.055523,,－,,42153,宮城県,大崎市,,1,,1,,,,,,50,1,,,
210,桜田集落ｾﾝﾀｰ,サクラダシュウラクセンター,宮城県大崎市田尻桜田高野字上田68-2,,38.594204,141.046659,,－,,42153,宮城県,大崎市,,1,,1,,,,,,50,1,,,
211,谷地中公会堂,ヤチナカコウカイドウ,宮城県大崎市田尻大沢字南谷地中2-2,,38.573525,141.053054,,－,,42153,宮城県,大崎市,,1,,1,,,,,,20,1,,,
212,北小塩ｺﾐｭﾆﾃｨｾﾝﾀｰ友人ﾋﾟｱ,キタオシオコミュニティセンターユウトピア,宮城県大崎市田尻小塩字蓬田南3,,38.605014,141.080331,,－,,42153,宮城県,大崎市,,1,,1,,,,,,50,1,,,
213,中小塩集落センター,ナカオシオシュウラクセンター,宮城県大崎市田尻小塩字入沢16-2,,38.598298,141.070642,,－,,42153,宮城県,大崎市,,1,,1,,,,,,40,1,,,
214,田尻農村運動公園・研修ｾﾝﾀｰ「ﾛﾏﾝ館」,タジリノウソンウンドウコウエン・ケンシュウセンター「ロマンカン」,宮城県大崎市田尻小塩字八ツ沢1,,38.590231,141.072609,,0229-39-2424,,42153,宮城県,大崎市,1,1,,1,,,,,,0,1,,,
215,百々公会堂,ドウドウコウカイドウ,宮城県大崎市田尻大沢字八幡下3-1,,38.580925,141.069748,,－,,42153,宮城県,大崎市,,1,,1,,,,,,50,1,,,
216,大沢集落ｾﾝﾀｰ,オオサワシュウラクセンター,宮城県大崎市田尻大沢字塚越一1-5,,38.586952,141.081553,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,50,1,,,
217,北小牛田集落ｾﾝﾀｰ,キタコゴタシュウラクセンター,宮城県大崎市田尻北小牛田字山王4-1,,38.565232,141.073927,,－,,42153,宮城県,大崎市,,1,,1,,,,,,60,1,,,
218,沼部小学校,ヌマベショウガッコウ,宮城県大崎市田尻沼部字山崎一7,,38.600154,141.055257,,0229-39-0209,,42153,宮城県,大崎市,1,1,,1,,,,,1,413,1,,,"洪水時校舎２階。予備・指定避難所（常時介護や援助は必要としないが,何らかの特別な配慮を必要とする市民等に対しては指定避難所の教室等を利用していただく。ただし,避難の長期化や階段の昇降,ﾄｲﾚ等で指定避難所での避難生活が困難となる場合は,各地域の保健福祉ｾﾝﾀｰを福祉避難所として開設する。）"
